account_id,timestamp,amount,transaction_type,is_suspicious,pattern_type
ACC_4030,2023-01-01 00:00:00,1417.18,PAYMENT,0,Normal
ACC_4602,2023-01-01 00:00:00,1486.55,PAYMENT,0,Normal
ACC_3127,2023-01-01 00:00:00,2055.95,PAYMENT,0,Normal
ACC_2884,2023-01-01 00:00:00,981.17,PAYMENT,0,Normal
ACC_3842,2023-01-01 01:00:00,933.42,PAYMENT,0,Normal
ACC_1935,2023-01-01 01:00:00,2235.3,PAYMENT,0,Normal
ACC_2812,2023-01-01 02:00:00,595.54,PAYMENT,0,Normal
ACC_1146,2023-01-01 02:00:00,1693.54,PAYMENT,0,Normal
ACC_3243,2023-01-01 02:00:00,81.21,PAYMENT,0,Normal
ACC_2921,2023-01-01 02:00:00,1373.37,PAYMENT,0,Normal
ACC_4428,2023-01-01 02:00:00,1004.44,PAYMENT,0,Normal
ACC_3955,2023-01-01 02:00:00,2817.52,PAYMENT,0,Normal
ACC_1756,2023-01-01 02:00:00,2028.27,PAYMENT,0,Normal
ACC_2320,2023-01-01 02:00:00,1830.96,PAYMENT,0,Normal
ACC_1751,2023-01-01 02:00:00,1354.96,PAYMENT,0,Normal
ACC_3418,2023-01-01 02:00:00,1294.67,PAYMENT,0,Normal
ACC_3424,2023-01-01 02:00:00,1714.96,PAYMENT,0,Normal
ACC_4347,2023-01-01 03:00:00,1175.65,PAYMENT,0,Normal
ACC_3252,2023-01-01 03:00:00,1005.58,PAYMENT,0,Normal
ACC_1606,2023-01-01 03:00:00,1448.27,PAYMENT,0,Normal
ACC_3573,2023-01-01 03:00:00,2830.09,PAYMENT,0,Normal
ACC_1604,2023-01-01 03:00:00,1985.37,PAYMENT,0,Normal
ACC_1055,2023-01-01 03:00:00,2387.58,PAYMENT,0,Normal
ACC_3015,2023-01-01 04:00:00,603.98,PAYMENT,0,Normal
ACC_4271,2023-01-01 04:00:00,275.29,PAYMENT,0,Normal
ACC_2242,2023-01-01 04:00:00,917.24,PAYMENT,0,Normal
ACC_3037,2023-01-01 04:00:00,337.35,PAYMENT,0,Normal
ACC_2440,2023-01-01 04:00:00,2478.78,PAYMENT,0,Normal
ACC_1685,2023-01-01 04:00:00,592.46,PAYMENT,0,Normal
ACC_4774,2023-01-01 05:00:00,1052.48,PAYMENT,0,Normal
ACC_2630,2023-01-01 05:00:00,2112.08,PAYMENT,0,Normal
ACC_3514,2023-01-01 05:00:00,1819.98,PAYMENT,0,Normal
ACC_1203,2023-01-01 05:00:00,2910.66,PAYMENT,0,Normal
ACC_2112,2023-01-01 05:00:00,660.43,PAYMENT,0,Normal
ACC_3330,2023-01-01 05:00:00,1867.18,PAYMENT,0,Normal
ACC_2139,2023-01-01 05:00:00,2437.82,PAYMENT,0,Normal
ACC_2007,2023-01-01 05:00:00,576.7,PAYMENT,0,Normal
ACC_2538,2023-01-01 05:00:00,425.48,PAYMENT,0,Normal
ACC_1087,2023-01-01 06:00:00,2797.18,PAYMENT,0,Normal
ACC_3895,2023-01-01 06:00:00,1837.78,PAYMENT,0,Normal
ACC_2053,2023-01-01 06:00:00,1928.45,PAYMENT,0,Normal
ACC_3622,2023-01-01 06:00:00,1508.39,PAYMENT,0,Normal
ACC_1278,2023-01-01 06:00:00,2136.15,PAYMENT,0,Normal
ACC_1373,2023-01-01 06:00:00,2125.91,PAYMENT,0,Normal
ACC_2578,2023-01-01 06:00:00,440.03,PAYMENT,0,Normal
ACC_4392,2023-01-01 07:00:00,1200.35,PAYMENT,0,Normal
ACC_3929,2023-01-01 07:00:00,1343.33,PAYMENT,0,Normal
ACC_1709,2023-01-01 07:00:00,1823.37,PAYMENT,0,Normal
ACC_1465,2023-01-01 07:00:00,492.39,PAYMENT,0,Normal
ACC_4840,2023-01-01 07:00:00,1873.03,PAYMENT,0,Normal
ACC_3536,2023-01-01 08:00:00,197.58,PAYMENT,0,Normal
ACC_4808,2023-01-01 08:00:00,1241.67,PAYMENT,0,Normal
ACC_4313,2023-01-01 09:00:00,2225.27,PAYMENT,0,Normal
ACC_1043,2023-01-01 09:00:00,2217.19,PAYMENT,0,Normal
ACC_4200,2023-01-01 09:00:00,1952.3,PAYMENT,0,Normal
ACC_2818,2023-01-01 09:00:00,2226.24,PAYMENT,0,Normal
ACC_2687,2023-01-01 09:00:00,2077.3,PAYMENT,0,Normal
ACC_2475,2023-01-01 09:00:00,2599.63,PAYMENT,0,Normal
ACC_2927,2023-01-01 09:00:00,247.79,PAYMENT,0,Normal
ACC_1267,2023-01-01 09:00:00,675.13,PAYMENT,0,Normal
ACC_4324,2023-01-01 09:00:00,687.11,PAYMENT,0,Normal
ACC_2516,2023-01-01 09:00:00,2450.65,PAYMENT,0,Normal
ACC_2514,2023-01-01 09:00:00,1189.03,PAYMENT,0,Normal
ACC_4926,2023-01-01 10:00:00,1313.51,PAYMENT,0,Normal
ACC_2727,2023-01-01 10:00:00,132.44,PAYMENT,0,Normal
ACC_1081,2023-01-01 10:00:00,1603.02,PAYMENT,0,Normal
ACC_2590,2023-01-01 10:00:00,847.79,PAYMENT,0,Normal
ACC_2010,2023-01-01 10:00:00,708.83,PAYMENT,0,Normal
ACC_3670,2023-01-01 11:00:00,1077.13,PAYMENT,0,Normal
ACC_1969,2023-01-01 11:00:00,2381.6,PAYMENT,0,Normal
ACC_4213,2023-01-01 11:00:00,2236.4,PAYMENT,0,Normal
ACC_1832,2023-01-01 11:00:00,2982.02,PAYMENT,0,Normal
ACC_1754,2023-01-01 11:00:00,2486.95,PAYMENT,0,Normal
ACC_2222,2023-01-01 11:00:00,1093.98,PAYMENT,0,Normal
ACC_1857,2023-01-01 11:00:00,1692.65,PAYMENT,0,Normal
ACC_4870,2023-01-01 12:00:00,1398.01,PAYMENT,0,Normal
ACC_1917,2023-01-01 12:00:00,1754.74,PAYMENT,0,Normal
ACC_4305,2023-01-01 12:00:00,959.1,PAYMENT,0,Normal
ACC_2235,2023-01-01 12:00:00,408.4,PAYMENT,0,Normal
ACC_1864,2023-01-01 12:00:00,1590.89,PAYMENT,0,Normal
ACC_2660,2023-01-01 12:00:00,2447.96,PAYMENT,0,Normal
ACC_1834,2023-01-01 13:00:00,325.1,PAYMENT,0,Normal
ACC_3925,2023-01-01 13:00:00,229.08,PAYMENT,0,Normal
ACC_4742,2023-01-01 13:00:00,1742.42,PAYMENT,0,Normal
